PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
2,"Sergejs Dolgopolovs",2,22588,3208,136444,ievēlēts,10,4,1,117064
3,"Andrejs Klementjevs",3,19251,1875,134440,ievēlēts,10,4,1,117064
4,"Boriss Cilevičs",5,17012,2461,131615,ievēlēts,10,4,1,117064
5,"Artūrs Rubiks",4,13128,3523,126669,ievēlēts,10,4,1,117064
6,"Nikolajs Kabanovs",9,12400,2805,126659,ievēlēts,10,4,1,117064
7,"Sergejs Mirskis",7,11869,3645,125288,ievēlēts,10,4,1,117064
8,"Igors Pimenovs",16,7327,2111,122280,ievēlēts,10,4,1,117064
9,"Mihails Zemļinskis",13,7314,2338,122040,ievēlēts,10,4,1,117064
10,"Igors Meļņikovs",30,6791,2113,121742,ievēlēts,10,4,1,117064
11,"Igors Zujevs",18,6042,1966,121140,ievēlēts,10,4,1,117064
12,"Ņikita Ņikiforovs",21,6129,2086,121107,ievēlēts,10,4,1,117064
13,"Aleksejs Holostovs",14,6207,2256,121015,ievēlēts,10,4,1,117064
14,"Sergejs Potapkins",15,5666,1879,120851,"",10,4,1,117064
15,"Aleksandrs Vasiļjevs",32,5471,1687,120848,"",10,4,1,117064
16,"Mihails Černousovs",19,5479,1783,120760,"",10,4,1,117064
17,"Guntars Jirgensons",11,5481,1894,120651,"",10,4,1,117064
18,"Anita Jākobsone",8,5440,2097,120407,"",10,4,1,117064
19,"Irina Cvetkova",22,5535,2249,120350,"",10,4,1,117064
20,"Ludmila Lūse",20,5231,2064,120231,"",10,4,1,117064
21,"Viktors Paškovs",28,4831,1746,120149,"",10,4,1,117064
22,"Oļegs Sisoļatins",17,5088,2005,120147,"",10,4,1,117064
23,"Mitrofans Slobodjans",25,4942,2008,119998,"",10,4,1,117064
24,"Tatjana Sergejeva-Zusko",26,5011,2080,119995,"",10,4,1,117064
25,"Egils Rutkovskis",6,4990,2089,119965,"",10,4,1,117064
26,"Irina Verdana",31,4885,2023,119926,"",10,4,1,117064
27,"Irina Morusa",27,4914,2068,119910,"",10,4,1,117064
28,"Armands Strazds",12,4802,1969,119897,"",10,4,1,117064
29,"Ingars Burlaks",10,4589,2024,119629,"",10,4,1,117064
30,"Valerijs Džuranovičs",23,4426,2005,119485,"",10,4,1,117064
